Player,Comp,Age,Min,Gls,Ast,dribbles_successful,key_passes,duels_won,duels_total
Davide Bartesaghi,it Serie A,18.0,118,0,0,0,0,0,1
Marc Bartra,es La Liga,33.0,2099,2,1,0,0,0,1
Federico Baschirotto,it Serie A,27.0,3420,2,0,0,0,0,1
Daniele Baselli,it Serie A,32.0,22,0,0,0,0,0,1
Calvin Bassey,eng Premier League,24.0,3074,1,0,0,0,0,1
Aboubacar Bassinga,es La Liga,19.0,4,0,0,0,0,0,1
Alessandro Bastoni,it Serie A,25.0,2333,1,5,0,0,0,1
Augusto Batalla,es La Liga,28.0,2880,0,0,0,0,0,1
Michy Batshuayi,de Bundesliga,30.0,300,3,0,0,0,0,1
Dylan Batubinsika,fr Ligue 1,28.0,2016,1,0,0,0,0,1
Maximilian Bauer,de Bundesliga,24.0,658,0,0,0,0,0,1
Oliver Baumann,de Bundesliga,34.0,2520,0,0,0,0,0,1
Christoph Baumgartner,de Bundesliga,24.0,1610,2,1,0,0,0,1
Rafael Bauza,es La Liga,19.0,183,0,0,0,0,0,1
Altay Bayındır,eng Premier League,26.0,360,0,0,0,0,0,1
Ihlas Bebou,de Bundesliga,30.0,9,0,0,0,0,0,1
Adrian Beck,de Bundesliga,27.0,1598,4,1,0,0,0,1
Sheraldo Becker,es La Liga,29.0,995,2,1,0,0,0,1
Timo Becker,de Bundesliga,27.0,2445,0,2,0,0,0,1
Jan Bednarek,eng Premier League,28.0,2531,2,0,0,0,0,1
Donny van de Beek,es La Liga,27.0,1421,2,2,0,0,0,1
Hannes Behrens,de Bundesliga,,29,0,0,0,0,0,1
Kevin Behrens,de Bundesliga,33.0,170,1,0,0,0,0,1
Maximilian Beier,de Bundesliga,21.0,1591,8,5,0,0,0,1
Luken Beitia,es La Liga,20.0,8,0,0,0,0,0,1
Ismael Bekhoucha,es La Liga,19.0,69,0,0,0,0,0,1
Reda Belahyane,it Serie A,20.0,1658,0,2,0,0,0,1
Reda Belahyane,it Serie A,20.0,198,0,0,0,0,0,1
Haris Belkebla,fr Ligue 1,30.0,1792,0,1,0,0,0,1
Yassin Belkhdim,fr Ligue 1,22.0,1523,1,1,0,0,0,1
Stefan Bell,de Bundesliga,32.0,1436,0,1,0,0,0,1
Armel Bella Kotchap,eng Premier League,22.0,331,0,0,0,0,0,1
Raoul Bellanova,it Serie A,24.0,87,0,0,0,0,0,1
Raoul Bellanova,it Serie A,24.0,2402,0,9,0,0,0,1
Jean-Ricner Bellegarde,eng Premier League,26.0,1677,2,7,0,0,0,1
Héctor Bellerín,es La Liga,29.0,580,0,2,0,0,0,1
Jude Bellingham,es La Liga,21.0,2488,9,8,0,0,0,1
Jeanuël Belocian,de Bundesliga,19.0,68,0,0,0,0,0,1
Andrea Belotti,it Serie A,30.0,593,2,0,0,0,0,1
Fran Beltrán,es La Liga,25.0,2421,2,1,0,0,0,1
Lucas Beltrán,it Serie A,23.0,1864,5,4,0,0,0,1
Eliesse Ben Seghir,fr Ligue 1,19.0,1750,6,3,0,0,0,1
Carlos Benavídez,es La Liga,26.0,487,1,1,0,0,0,1
Adrian Benedyczak,it Serie A,23.0,214,0,0,0,0,0,1
László Bénes,de Bundesliga,26.0,589,2,1,0,0,0,1
Iker Benito,es La Liga,21.0,37,0,0,0,0,0,1
Ismaël Bennacer,it Serie A,26.0,300,0,0,0,0,0,1
Ismaël Bennacer,fr Ligue 1,26.0,646,0,2,0,0,0,1
Saïd Benrahma,fr Ligue 1,28.0,735,1,3,0,0,0,1
Ramy Bensebaini,de Bundesliga,29.0,2022,1,6,0,0,0,1
Nabil Bentaleb,fr Ligue 1,29.0,329,1,0,0,0,0,1
Rodrigo Bentancur,eng Premier League,27.0,1645,2,0,0,0,0,1
Daniel Bentley,eng Premier League,31.0,180,0,0,0,0,0,1
Lucas Beraldo,fr Ligue 1,20.0,2011,1,0,0,0,0,1
Yuri Berchiche,es La Liga,34.0,2044,0,2,0,0,0,1
Álex Berenguer,es La Liga,29.0,2339,6,7,0,0,0,1
Sander Berge,eng Premier League,26.0,2224,0,0,0,0,0,1
Lucas Bergvall,eng Premier League,18.0,1212,0,1,0,0,0,1
Medon Berisha,it Serie A,20.0,716,0,1,0,0,0,1
Mergim Berisha,de Bundesliga,26.0,333,1,1,0,0,0,1
Mergim Berisha,de Bundesliga,26.0,40,0,0,0,0,0,1
Adrian Bernabe,it Serie A,23.0,1453,1,1,0,0,0,1
Marc Bernal,es La Liga,17.0,242,0,0,0,0,0,1
Bernardo,de Bundesliga,29.0,1782,0,0,0,0,0,1
Juan Bernat,es La Liga,31.0,212,0,1,0,0,0,1
Juan Bernat,es La Liga,31.0,699,0,1,0,0,0,1
Maxime Bernauer,fr Ligue 1,26.0,763,0,0,0,0,0,1
Antoine Bernede,it Serie A,25.0,594,1,0,0,0,0,1
Alexander Bernhardsson,de Bundesliga,25.0,1263,7,2,0,0,0,1
Victor Bernth Kristiansen,eng Premier League,21.0,2482,0,1,0,0,0,1
Matúš Bero,de Bundesliga,28.0,2565,5,2,0,0,0,1
Juan Berrocal,es La Liga,25.0,1063,0,0,0,0,0,1
Dimitry Bertaud,fr Ligue 1,26.0,360,0,0,0,0,0,1
Jan-Niklas Beste,de Bundesliga,25.0,212,0,1,0,0,0,1
Beto,eng Premier League,26.0,1534,8,0,0,0,0,1
Sam Beukema,it Serie A,25.0,3012,0,1,0,0,0,1
Alessandro Bianco,it Serie A,21.0,2600,1,0,0,0,0,1
Alessandro Bianco,it Serie A,21.0,18,0,0,0,0,0,1
Mika Biereth,fr Ligue 1,21.0,1228,13,2,0,0,0,1
Jaka Bijol,it Serie A,25.0,2963,1,0,0,0,0,1
El Bilal Touré,de Bundesliga,22.0,356,2,1,0,0,0,1
Philip Billing,eng Premier League,28.0,184,0,0,0,0,0,1
Philip Billing,it Serie A,28.0,197,1,0,0,0,0,1
Cristiano Biraghi,it Serie A,31.0,1158,0,0,0,0,0,1
Cristiano Biraghi,it Serie A,31.0,433,1,0,0,0,0,1
Samuele Birindelli,it Serie A,25.0,1468,3,0,0,0,0,1
Tom Bischof,de Bundesliga,19.0,2559,5,2,0,0,0,1
Yves Bissouma,eng Premier League,27.0,1408,2,0,0,0,0,1
Leonardo Bittencourt,de Bundesliga,30.0,982,2,1,0,0,0,1
Emmanuel Biumla,fr Ligue 1,19.0,1336,1,0,0,0,0,1
Marco Bizot,fr Ligue 1,33.0,2880,0,0,0,0,0,1
Bjarki Bjarkason,it Serie A,24.0,165,0,0,0,0,0,1
Antonio Blanco,es La Liga,24.0,2727,0,1,0,0,0,1
Ludovic Blas,fr Ligue 1,26.0,2293,6,8,0,0,0,1
Daley Blind,es La Liga,34.0,2780,0,2,0,0,0,1
Myron Boadu,de Bundesliga,23.0,1042,9,1,0,0,0,1
Augustine Boakye,fr Ligue 1,23.0,733,3,0,0,0,0,1
Oscar Bobb,eng Premier League,21.0,16,0,0,0,0,0,1
Mathéo Bodmer,fr Ligue 1,20.0,6,0,0,0,0,0,1
Sacha Boey,de Bundesliga,23.0,593,0,2,0,0,0,1
Jeremie Boga,fr Ligue 1,27.0,1054,1,2,0,0,0,1
Lamare Bogarde,eng Premier League,20.0,476,0,0,0,0,0,1
Emil Bohinen,it Serie A,25.0,166,0,0,0,0,0,1
Adama Boiro,es La Liga,22.0,1101,0,0,0,0,0,1
Willy Boly,eng Premier League,33.0,150,0,0,0,0,0,1
Moïse Bombito,fr Ligue 1,24.0,2192,0,0,0,0,0,1
Warren Bondo,it Serie A,20.0,1618,0,0,0,0,0,1
